가맹점코드,가맹점명,사업자등록번호,지류취급여부,전자취급여부,모바일취급여부,한도금액
54010400216,한마음식당,4160964425,Y,Y,N,3100000
56010900083,메밀꽃소바,8492600614,Y,Y,Y,3100000
70210100542,새안동상회,5049027803,Y,N,N,50000000
71210500074,자인골한우수구구레,2714800472,Y,Y,N,3100000
13910300107,한샘약국,5171200758,Y,Y,Y,3100000
33610800042,팜스프링스헤어,3122128599,Y,Y,Y,3100000
64110800592,금당,3382600924,Y,Y,Y,3100000
60110100489,반짝,2940900869,Y,Y,Y,3100000
12210300021,양지상회,1109257275,Y,Y,Y,3100000
71210100011,대길식당,6220416009,Y,Y,Y,3100000
52710500013,소이강진점,4150584319,Y,Y,Y,10000000
70212700091,까사미아대구북구점,7962901358,Y,Y,Y,3100000
12010100113,만나두부,1109204201,Y,Y,Y,3100000
76010200209,안동황토한우점,5089094871,Y,Y,Y,3100000
60110100988,티아라,6052668090,Y,Y,N,3100000
68210200015,동울산가방,6100923462,Y,Y,N,3100000
41710110977,장가네,1939100028,Y,Y,Y,3100000
1458200004,돼지도둑,1192258813,Y,Y,Y,3100000
37010200118,신도생고기,3020259866,Y,Y,Y,3100000
42910700036,성남호수산,1409058359,Y,Y,Y,3100000
70510100182,"소문난건어물,젓갈",4750700289,Y,Y,Y,5000000
60610200256,오씨채소,4199801189,Y,Y,N,3100000
60711100073,바르다,1659101022,Y,Y,Y,3100000
60210800093,고집센그집갈비탕,4304800601,Y,N,N,3100000
54011900075,헤지스골프순천연향점,5451301521,Y,N,N,3100000
30110700927,더공주,4817000385,Y,Y,Y,3100000
60110200175,이솜,6173371785,Y,Y,Y,3100000
13710500070,슈미,1140356653,Y,Y,Y,3100000
56010500080,육일과일야채,2159564465,Y,Y,N,5000000
60011300203,동아지업사,6022560622,Y,Y,N,3100000
53010100004,대양상회,4119011921,Y,Y,Y,3100000
42510700075,먼싱웨어한대점,7142500228,Y,N,N,3100000
20010200075,아지트,2601701050,Y,Y,Y,3100000
36010400017,동아유통,3011899963,Y,Y,Y,3100000
75510300002,봉화약방,5120734939,Y,Y,N,3100000
9241200002,할라정원,7320502513,Y,Y,Y,3100000
61411800010,올포유,6051236397,Y,Y,Y,3100000
41710200013,무궁화분식,2340133061,Y,Y,N,3100000
76410100026,제일청과,4097004865,Y,Y,Y,10000000
21710200192,속초붉은대게수산,2436000178,Y,Y,N,5000000
1393200029,장익,2568200268,Y,N,N,3100000
13710300031,스캉달,1140312470,Y,Y,Y,3100000
60110100861,동양상회,6043332734,Y,Y,N,3100000
70010600272,유영상회,5043118670,Y,Y,Y,3100000
60610200282,부산상회,1579301286,Y,Y,Y,10000000
57910100229,부안수산,8109601165,Y,Y,Y,10000000
14210600102,그린팜마트,4012795162,Y,Y,Y,10000000
41710100115,연정이네,1379132762,Y,Y,Y,3100000
56610500058,형제반점,4070545654,Y,Y,Y,3100000
13310900077,쌍용마트,3566000251,Y,Y,Y,3100000
65610400017,초록귀금속,6122919394,Y,Y,N,3100000
79110400229,청송상회,4239900153,Y,Y,Y,3100000
21510100069,양양문어집,2279080105,Y,Y,N,3100000
76010200074,신흥침구사,5080933973,Y,Y,Y,3100000
45610200104,남성사,1251051767,Y,Y,Y,3100000
57910100192,부안시장협동조합,7398100107,Y,Y,Y,3100000
70110600044,프라임마트송라점,5030443132,Y,N,N,5000000
74510500066,장터소머리국밥,1220534595,Y,Y,Y,3100000
50210400182,나비수산,4081227394,Y,Y,Y,50000000
44910100153,보광당,1351937824,Y,Y,Y,3100000
71210100043,덕화명가,5020836714,Y,Y,Y,3100000
70210200095,팡도르,8744100194,Y,N,N,3100000
15116200009,양말아저씨,8622001889,Y,Y,Y,3100000
44010300151,수화장품,1351244568,Y,Y,Y,3100000
41710100014,미영청과,1379076536,Y,Y,Y,3100000
13810100209,원이네순댓국,5251600679,Y,Y,Y,3100000
50210300699,금성상회,5112306745,Y,Y,N,3100000
12044200015,이니스프리 아산점,3122502452,Y,Y,Y,3100000
